bioguide_id,chamber,job_type,congress_number,congress_start_date,congress_end_date,region_type,region_code,party_name,job_start_date,job_end_date,party_start_date,party_end_date
B000736,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IN,Democrat,,,,
B000778,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IN,Republican,,,,
B000791,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,KS,Democrat,,,,
B000813,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MD,Democrat,,,,
B000823,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NH,Republican,,,,
B000849,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NE,Democrat,,,,
B000880,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TX,Democrat,,,,
B000884,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,LA,Democrat,1959-01-03,,,
B000890,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MI,Republican,,,,
B000908,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MO,Democrat,,,,
B000909,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OH,Republican,,,,
B000940,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,GA,Democrat,1959-01-03,,,
B000967,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,VA,Republican,,,,
B000982,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,ND,Republican,1959-11-19,1960-08-07,,
B001024,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,NY,Democrat,1959-01-03,,,
B001035,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,ID,Republican,,,,
B001077,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,ND,Democrat,1960-08-08,,,
B001077,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,ND,Democrat,,1960-08-08,,
B001090,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,KY,Democrat,,,,
B001092,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MA,Democrat,,,,
