94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
D000401,D000344,D000435,D000466,E000013,D000563,D000471,D000592,D000471,D000533,D000432,D000424,D000407,D000407,D000327,D000388,D000327,D000210,D000399,D000607,D000617,D000612,D000624,D000624,D000626
D000407,D000355,D000446,D000471,E000017,D000566,D000492,D000593,D000492,D000549,D000435,D000429,D000424,D000424,D000355,D000399,D000355,D000216,D000482,D000610,D000618,D000614,D000626,D000626,D000628
D000471,D000388,D000471,D000492,E000031,D000586,D000533,E000013,D000533,D000563,D000482,D000432,D000429,D000429,D000388,D000407,D000388,D000299,D000492,D000612,D000619,D000615,D000627,D000627,D000629
D000474,D000401,D000499,D000534,E000043,D000592,D000534,E000031,D000563,D000566,D000492,D000482,D000432,D000432,D000399,D000429,D000399,D000327,D000533,D000614,D000620,D000616,D000628,D000628,D000631
D000499,D000407,D000534,D000548,E000064,D000593,D000563,E000064,D000566,E000063,D000533,D000492,D000482,D000482,D000407,D000432,D000407,D000355,D000563,D000615,D000621,D000617,D000629,D000629,D000632
D000534,D000435,D000537,D000566,E000077,E000004,D000566,E000077,D000586,E000064,D000549,D000533,D000492,D000492,D000424,D000482,D000429,D000388,D000595,D000616,D000622,D000618,D000630,D000630,D000633
D000537,D000471,D000566,D000586,E000084,E000013,D000586,E000174,D000592,E000092,D000563,D000549,D000533,D000533,D000429,D000492,D000432,D000399,D000598,D000617,D000623,D000619,D000631,D000631,E000071
D000558,D000499,D000574,D000592,E000174,E000017,D000592,E000179,E000013,E000174,E000063,D000563,D000549,D000549,D000432,D000533,D000482,D000432,D000600,D000618,D000624,D000620,E000179,E000071,E000215
D000574,D000534,E000004,D000593,E000184,E000031,D000593,E000184,E000031,E000179,E000092,E000063,D000563,D000563,D000482,D000563,D000492,D000482,D000603,D000619,D000625,D000621,E000215,E000215,E000235
E000004,D000537,E000013,E000004,E000201,E000033,E000013,E000201,E000063,E000184,E000093,E000092,D000595,D000595,D000492,D000595,D000533,D000492,D000604,D000620,D000626,D000622,E000285,E000294,E000246
E000013,D000566,E000035,E000013,E000204,E000043,E000031,E000218,E000064,E000186,E000172,E000093,E000063,D000596,D000533,D000596,D000563,D000533,D000607,D000621,E000179,D000623,E000294,E000295,E000294
E000018,D000574,E000043,E000017,E000236,E000064,E000064,E000250,E000077,E000215,E000174,E000172,E000092,D000597,D000549,D000597,D000595,D000563,D000610,D000622,E000215,D000624,E000295,E000296,E000295
E000035,E000004,E000064,E000031,E000250,E000077,E000077,E000284,E000174,E000218,E000179,E000179,E000093,D000598,D000563,D000598,D000597,D000595,D000612,E000172,E000285,D000625,E000296,E000297,E000296
E000043,E000013,E000077,E000043,E000259,E000174,E000174,F000010,E000179,E000250,E000187,E000187,E000172,E000063,D000595,D000599,D000598,D000598,D000613,E000179,E000288,D000626,E000297,E000298,E000297
E000064,E000018,E000084,E000064,E000284,E000184,E000184,F000041,E000184,E000268,E000194,E000194,E000179,E000092,D000596,D000600,D000599,D000599,D000614,E000215,E000290,D000627,E000298,E000299,E000298
E000084,E000035,E000175,E000077,F000041,E000201,E000201,F000046,E000201,E000282,E000215,E000215,E000187,E000093,D000597,D000601,D000600,D000600,D000615,E000285,E000291,D000628,E000299,F000062,E000299
E000096,E000043,E000184,E000084,F000046,E000236,E000218,F000049,E000218,E000284,E000250,E000226,E000215,E000172,D000598,D000602,D000601,D000602,D000616,E000288,E000293,E000179,F000062,F000246,F000062
E000175,E000064,E000198,E000174,F000053,E000250,E000236,F000053,E000250,F000010,E000268,E000250,E000226,E000179,D000599,D000603,D000602,D000603,D000617,E000290,E000294,E000215,F000449,F000446,F000246
E000184,E000077,E000204,E000175,F000059,E000259,E000250,F000059,E000282,F000030,E000282,E000268,E000250,E000187,D000600,D000604,D000603,D000604,E000172,E000291,E000295,E000285,F000450,F000449,F000446
E000204,E000084,E000208,E000184,F000088,E000284,E000284,F000111,E000284,F000049,E000284,E000282,E000268,E000194,D000601,D000605,D000604,D000607,E000179,E000292,E000296,E000288,F000454,F000450,F000450
E000213,E000096,E000233,E000198,F000102,F000041,F000041,F000141,F000010,F000053,F000010,E000285,E000282,E000215,D000602,E000063,D000605,D000608,E000194,E000293,F000030,E000293,F000455,F000454,F000454
E000214,E000175,E000239,E000204,F000111,F000046,F000046,F000184,F000041,F000061,F000030,F000010,E000285,E000226,E000063,E000092,D000606,D000609,E000215,F000010,F000043,E000294,F000459,F000455,F000459
E000239,E000184,E000254,E000208,F000141,F000049,F000049,F000208,F000049,F000062,F000043,F000030,E000286,E000250,E000092,E000172,D000607,D000610,E000285,F000030,F000062,E000295,F000461,F000459,F000462
E000240,E000204,E000258,E000233,F000208,F000053,F000053,F000215,F000053,F000110,F000049,F000043,F000010,E000268,E000172,E000179,E000063,D000611,E000288,F000043,F000372,E000296,F000462,F000462,F000463
E000273,E000208,E000284,E000239,F000215,F000059,F000059,F000235,F000059,F000111,F000053,F000049,F000030,E000285,E000179,E000187,E000092,E000063,E000290,F000062,F000444,E000297,F000463,F000463,F000465
F000013,E000233,F000040,E000258,F000235,F000102,F000111,F000239,F000062,F000116,F000061,F000053,F000043,E000286,E000187,E000194,E000172,E000092,E000291,F000372,F000445,E000298,F000465,F000465,F000466
F000040,E000239,F000041,E000259,F000239,F000111,F000141,F000261,F000111,F000128,F000062,F000061,F000061,F000010,E000194,E000215,E000179,E000172,F000010,F000444,F000448,F000062,F000466,F000466,F000468
F000041,E000240,F000046,E000284,F000261,F000141,F000184,F000268,F000141,F000141,F000110,F000062,F000062,F000030,E000215,E000226,E000187,E000179,F000030,F000445,F000449,F000372,F000467,F000468,F000469
F000046,E000258,F000053,F000040,F000268,F000208,F000208,F000270,F000184,F000184,F000111,F000116,F000116,F000043,E000226,E000250,E000194,E000194,F000043,F000448,F000450,F000444,F000468,F000469,F000470
F000078,F000040,F000078,F000041,F000270,F000215,F000215,F000329,F000235,F000235,F000116,F000184,F000238,F000061,E000250,E000268,E000215,E000215,F000062,F000449,F000451,F000448,F000469,F000470,F000471
F000123,F000041,F000088,F000046,F000286,F000235,F000235,F000339,F000239,F000239,F000184,F000235,F000257,F000062,E000268,E000285,E000226,E000226,F000116,F000450,F000454,F000449,G000061,F000471,F000472
F000141,F000046,F000123,F000053,F000329,F000239,F000239,F000380,F000261,F000261,F000187,F000238,F000262,F000116,E000285,E000287,E000268,E000285,F000339,F000451,F000455,F000450,G000359,F000472,F000474
F000151,F000078,F000141,F000078,F000339,F000261,F000261,F000392,F000268,F000268,F000235,F000257,F000328,F000238,E000286,F000010,E000285,E000288,F000372,F000454,F000456,F000454,G000377,F000473,F000475
F000161,F000123,F000151,F000088,F000347,F000268,F000268,F000435,F000270,F000270,F000238,F000262,F000339,F000262,E000287,F000030,E000287,E000289,F000444,F000455,F000457,F000455,G000386,F000474,F000476
F000209,F000141,F000161,F000102,F000380,F000270,F000270,G000021,F000329,F000328,F000257,F000268,F000349,F000339,F000010,F000043,E000288,E000290,F000445,F000456,F000458,F000457,G000546,F000475,F000477
F000215,F000151,F000208,F000111,F000392,F000329,F000329,G000025,F000339,F000339,F000261,F000328,F000372,F000372,F000030,F000061,E000289,F000010,F000448,F000457,F000459,F000459,G000551,G000061,F000478
F000218,F000161,F000209,F000123,F000430,F000339,F000339,G000047,F000348,F000348,F000268,F000332,F000392,F000392,F000043,F000062,E000290,F000030,F000449,F000458,F000460,F000460,G000552,G000359,F000479
F000229,F000208,F000215,F000141,G000047,F000347,F000380,G000072,F000392,F000349,F000328,F000339,F000439,F000439,F000061,F000116,F000010,F000043,F000450,F000459,F000461,F000461,G000553,G000377,F000480
F000239,F000209,F000239,F000161,G000072,F000380,F000392,G000105,F000435,F000392,F000332,F000349,F000440,F000440,F000062,F000238,F000030,F000061,F000451,F000460,F000462,F000462,G000555,G000386,G000061
F000245,F000215,F000261,F000208,G000105,F000392,F000435,G000120,G000021,F000434,F000339,F000372,F000441,F000441,F000116,F000262,F000043,F000062,F000455,F000461,F000463,F000463,G000558,G000546,G000359
F000260,F000218,F000268,F000215,G000120,F000430,G000021,G000121,G000025,F000437,F000348,F000392,F000442,F000442,F000238,F000339,F000061,F000116,F000456,F000462,G000289,F000464,G000559,G000551,G000377
F000261,F000229,F000270,F000235,G000121,F000435,G000025,G000132,G000072,G000021,F000349,F000434,G000021,F000443,F000262,F000372,F000062,F000339,F000457,F000463,G000359,F000465,G000560,G000552,G000386
F000268,F000239,F000286,F000239,G000132,G000025,G000047,G000134,G000105,G000025,F000351,F000437,G000041,F000444,F000339,F000439,F000116,F000372,F000458,G000289,G000377,F000466,G000562,G000553,G000546
F000270,F000260,F000319,F000261,G000153,G000047,G000072,G000153,G000120,G000120,F000372,F000439,G000120,F000445,F000372,F000440,F000339,F000444,F000459,G000359,G000386,G000289,G000563,G000555,G000551
F000286,F000261,F000329,F000268,G000212,G000072,G000105,G000210,G000121,G000121,F000387,F000440,G000121,G000021,F000392,F000443,F000372,F000445,F000460,G000377,G000410,G000359,G000565,G000558,G000553
F000319,F000268,F000380,F000270,G000225,G000105,G000120,G000212,G000132,G000132,F000392,G000021,G000132,G000041,F000439,F000444,F000440,F000448,F000461,G000386,G000535,G000377,G000568,G000559,G000555
F000350,F000270,F000392,F000286,G000236,G000120,G000121,G000225,G000134,G000134,F000426,G000041,G000152,G000121,F000440,F000445,F000443,F000449,G000021,G000410,G000546,G000386,G000571,G000563,G000558
F000380,F000286,F000430,F000319,G000240,G000121,G000132,G000236,G000153,G000153,F000434,G000120,G000180,G000132,F000441,F000447,F000444,F000450,G000289,G000535,G000548,G000410,G000574,G000565,G000559
F000381,F000319,G000047,F000329,G000267,G000132,G000153,G000240,G000180,G000180,F000437,G000121,G000210,G000152,F000442,F000448,F000445,F000453,G000359,G000546,G000551,G000535,G000576,G000568,G000565
F000424,F000329,G000072,F000339,G000272,G000153,G000212,G000272,G000210,G000210,F000438,G000132,G000212,G000180,F000443,F000449,F000447,F000454,G000377,G000548,G000552,G000546,G000577,G000574,G000568
F000430,F000350,G000105,F000380,G000291,G000212,G000225,G000291,G000212,G000212,F000439,G000152,G000280,G000210,F000444,F000450,F000448,F000455,G000386,G000549,G000553,G000551,G000578,G000576,G000574
G000072,F000380,G000132,F000392,G000321,G000225,G000236,G000309,G000225,G000225,G000021,G000180,G000289,G000212,F000445,F000451,F000449,F000456,G000410,G000550,G000555,G000552,G000579,G000577,G000576
G000105,F000381,G000151,F000430,G000333,G000236,G000240,G000321,G000236,G000236,G000041,G000210,G000291,G000280,F000447,F000452,F000450,F000457,G000535,G000551,G000556,G000553,G000581,G000578,G000577
G000151,F000430,G000153,G000047,G000349,G000240,G000272,G000333,G000240,G000240,G000120,G000212,G000309,G000289,F000448,G000021,F000452,G000021,G000544,G000552,G000558,G000555,G000582,G000579,G000578
G000153,G000036,G000212,G000072,G000365,G000267,G000291,G000336,G000272,G000272,G000121,G000225,G000321,G000309,G000021,G000152,F000453,G000289,G000546,G000553,G000559,G000558,G000583,G000581,G000579
G000212,G000047,G000225,G000105,G000386,G000272,G000309,G000349,G000291,G000289,G000132,G000236,G000333,G000321,G000132,G000180,F000454,G000309,G000548,G000555,G000560,G000559,G000584,G000582,G000581
G000226,G000072,G000226,G000120,G000402,G000291,G000321,G000352,G000309,G000291,G000134,G000272,G000336,G000336,G000152,G000210,F000455,G000359,G000549,G000556,G000562,G000560,G000585,G000583,G000582
G000236,G000105,G000236,G000132,G000417,G000309,G000349,G000365,G000321,G000309,G000153,G000280,G000352,G000352,G000180,G000280,G000021,G000377,G000550,G000558,G000563,G000562,G000586,G000585,G000583
G000267,G000132,G000240,G000153,G000445,G000321,G000352,G000371,G000333,G000321,G000180,G000289,G000359,G000359,G000210,G000289,G000180,G000386,G000551,G000559,G000564,G000563,G000587,G000586,G000585
G000268,G000151,G000267,G000212,G000511,G000333,G000365,G000382,G000336,G000333,G000210,G000291,G000365,G000365,G000280,G000309,G000210,G000410,G000552,G000560,G000565,G000565,G000588,G000587,G000586
G000272,G000153,G000268,G000225,G000524,G000349,G000371,G000386,G000349,G000336,G000212,G000309,G000367,G000377,G000289,G000359,G000280,G000445,G000553,G000562,G000566,G000566,G000589,G000588,G000587
G000291,G000212,G000272,G000226,H000058,G000365,G000382,G000402,G000352,G000349,G000225,G000321,G000377,G000386,G000309,G000377,G000289,G000535,G000554,G000563,G000568,G000568,G000590,G000589,G000589
G000349,G000226,G000291,G000236,H000067,G000386,G000386,G000417,G000365,G000352,G000236,G000333,G000386,G000410,G000336,G000386,G000309,G000544,G000555,G000564,G000570,G000571,G000591,G000590,G000590
G000386,G000236,G000321,G000240,H000070,G000400,G000400,G000511,G000371,G000365,G000272,G000336,G000410,G000439,G000352,G000410,G000359,G000546,G000558,G000565,G000571,G000574,G000592,G000591,G000591
G000388,G000240,G000349,G000267,H000074,G000402,G000402,G000524,G000386,G000367,G000289,G000352,G000439,G000445,G000359,G000445,G000377,G000548,G000559,G000566,G000574,G000576,H000324,G000592,G000592
G000420,G000267,G000365,G000268,H000114,G000417,G000417,H000067,G000402,G000371,G000291,G000359,G000445,G000535,G000377,G000535,G000386,G000549,G000560,G000567,G000575,G000577,H000874,G000593,G000593
G000465,G000268,G000386,G000272,H000124,G000445,G000445,H000074,G000417,G000386,G000309,G000365,G000535,G000536,G000386,G000536,G000410,G000550,G000562,G000568,G000576,G000578,H001038,G000594,G000594
G000513,G000272,G000388,G000291,H000144,G000499,G000511,H000114,G000511,G000410,G000321,G000367,G000536,G000544,G000410,G000544,G000445,G000551,G000563,G000569,G000577,G000579,H001042,G000595,G000595
G000537,G000291,G000402,G000321,H000171,G000511,G000524,H000124,G000524,G000439,G000333,G000377,G000544,G000545,G000439,G000545,G000535,G000552,G000564,G000571,H000324,G000580,H001046,G000596,G000596
H000012,G000321,G000417,G000333,H000172,G000524,H000067,H000151,H000067,G000445,G000336,G000386,G000545,G000546,G000445,G000546,G000544,G000553,G000565,G000572,H000338,G000581,H001047,G000597,G000597
H000041,G000349,G000480,G000349,H000206,H000067,H000074,H000172,H000074,G000524,G000352,G000410,H000067,G000547,G000535,G000548,G000546,G000554,G000566,G000573,H000636,G000582,H001048,H000273,G000598
H000070,G000386,G000511,G000365,H000269,H000070,H000114,H000206,H000114,G000535,G000359,G000439,H000074,H000067,G000536,G000549,G000548,G000555,G000567,H000067,H000874,G000583,H001052,H000324,G000599
H000073,G000388,G000515,G000386,H000287,H000074,H000124,H000236,H000124,H000067,G000365,G000445,H000172,H000074,G000544,G000550,G000549,G000556,G000568,H000206,H001034,G000584,H001053,H000601,G000600
H000114,G000417,G000537,G000402,H000302,H000114,H000172,H000323,H000151,H000074,G000367,G000535,H000206,H000172,G000545,G000551,G000550,G000557,G000569,H000324,H001036,G000585,H001056,H000874,H000273
H000124,G000465,H000012,G000417,H000338,H000124,H000206,H000338,H000172,H000096,G000386,G000536,H000323,H000206,G000546,G000552,G000551,G000558,G000570,H000329,H001038,H000324,H001058,H001038,H000601
H000158,G000515,H000070,G000445,H000340,H000172,H000236,H000340,H000206,H000114,G000408,H000067,H000324,H000213,G000548,G000553,G000552,G000559,H000067,H000338,H001041,H000338,H001061,H001042,H000874
H000166,G000537,H000074,G000480,H000343,H000206,H000323,H000343,H000236,H000151,G000410,H000074,H000329,H000323,G000549,H000067,G000553,G000560,H000206,H000636,H001042,H000874,H001064,H001046,H001038
H000170,H000012,H000114,G000511,H000367,H000287,H000338,H000367,H000323,H000172,G000439,H000114,H000338,H000324,G000550,H000206,G000554,G000561,H000213,H000874,H001045,H001036,H001065,H001047,H001042
H000171,H000070,H000124,G000524,H000374,H000302,H000340,H000388,H000338,H000206,G000445,H000172,H000413,H000329,G000551,H000213,G000555,H000067,H000324,H001032,H001046,H001038,H001066,H001052,H001046
H000206,H000114,H000144,G000537,H000388,H000338,H000343,H000390,H000340,H000213,G000524,H000206,H000444,H000338,H000067,H000323,H000067,H000206,H000329,H001034,H001047,H001041,H001067,H001053,H001047
H000230,H000124,H000158,H000012,H000439,H000340,H000367,H000444,H000343,H000323,G000535,H000213,H000463,H000413,H000206,H000324,H000206,H000213,H000338,H001036,H001048,H001042,H001068,H001056,H001052
H000241,H000158,H000171,H000058,H000445,H000343,H000388,H000445,H000388,H000324,G000536,H000323,H000528,H000444,H000213,H000329,H000213,H000324,H000528,H001038,H001050,H001045,H001071,H001058,H001058
H000281,H000166,H000206,H000067,H000448,H000367,H000390,H000448,H000390,H000338,H000067,H000324,H000605,H000463,H000323,H000338,H000323,H000329,H000627,H001041,H001051,H001046,H001072,H001061,H001061
H000287,H000170,H000241,H000070,H000449,H000374,H000439,H000456,H000444,H000343,H000074,H000329,H000615,H000528,H000324,H000413,H000324,H000338,H000636,H001042,H001052,H001047,H001073,H001066,H001066
H000291,H000171,H000281,H000074,H000456,H000388,H000444,H000463,H000445,H000390,H000114,H000338,H000621,H000615,H000329,H000444,H000329,H000528,H000712,H001045,H001053,H001048,H001074,H001067,H001067
H000297,H000206,H000287,H000114,H000463,H000439,H000445,H000514,H000448,H000444,H000151,H000413,H000627,H000621,H000338,H000528,H000338,H000627,H000874,H001046,H001055,H001050,H001075,H001068,H001068
H000317,H000230,H000338,H000124,H000547,H000445,H000448,H000528,H000456,H000445,H000172,H000444,H000636,H000627,H000413,H000627,H000528,H000636,H001016,H001047,H001056,H001052,H001076,H001071,H001072
H000327,H000241,H000343,H000144,H000582,H000448,H000456,H000547,H000463,H000448,H000206,H000448,H000666,H000636,H000444,H000636,H000627,H000676,H001032,H001048,H001057,H001053,H001077,H001072,H001075
H000343,H000281,H000367,H000171,H000586,H000449,H000463,H000586,H000514,H000463,H000213,H000463,H000676,H000666,H000528,H000666,H000636,H000712,H001034,H001049,H001058,H001056,H001079,H001074,H001076
H000346,H000287,H000374,H000172,H000624,H000456,H000514,H000652,H000528,H000514,H000323,H000528,H000712,H000676,H000627,H000676,H000666,H000874,H001036,H001050,H001059,H001058,H001080,H001075,H001077
H000367,H000317,H000384,H000206,H000725,H000463,H000528,H000670,H000547,H000528,H000324,H000605,H000725,H000712,H000636,H000712,H000676,H001016,H001038,H001051,H001060,H001059,H001081,H001076,H001079
H000384,H000338,H000440,H000287,H000747,H000490,H000547,H000725,H000652,H000621,H000329,H000615,H000762,H000725,H000666,H000762,H000712,H001030,H001041,H001052,H001061,H001061,H001082,H001077,H001081
H000392,H000343,H000445,H000302,H000776,H000514,H000586,H000729,H000666,H000627,H000338,H000621,H000789,H000762,H000676,H000807,H000762,H001032,H001042,H001053,H001063,H001064,H001083,H001079,H001082
H000408,H000344,H000448,H000338,H000797,H000547,H000670,H000776,H000670,H000652,H000343,H000627,H000807,H000789,H000712,H000874,H000874,H001034,H001045,H001055,H001064,H001065,H001085,H001080,H001085
H000437,H000346,H000449,H000340,H000840,H000586,H000725,H000797,H000725,H000666,H000390,H000636,H000814,H000807,H000725,H000948,H000948,H001036,H001046,H001056,H001065,H001067,H001087,H001081,H001086
H000438,H000367,H000456,H000343,H000874,H000624,H000729,H000814,H000729,H000670,H000413,H000666,H000874,H000814,H000762,H000981,H000981,H001037,H001047,H001057,H001067,H001068,H001088,H001082,H001089
H000440,H000384,H000463,H000367,H000878,H000725,H000776,H000874,H000776,H000676,H000444,H000676,H000948,H000874,H000807,H001016,H001016,H001038,H001048,H001058,H001068,H001069,H001089,H001084,H001090
H000448,H000440,H000582,H000374,H000901,H000747,H000797,H000878,H000788,H000707,H000445,H000712,H000981,H000948,H000814,H001022,H001028,H001039,H001049,H001059,H001069,H001071,H001090,H001085,H001091
H000456,H000448,H000624,H000384,H000905,H000776,H000814,H000901,H000797,H000712,H000448,H000725,H001014,H000981,H000874,H001028,H001029,H001040,H001050,H001060,H001070,H001072,H001092,H001086,H001093
H000463,H000449,H000641,H000440,H000930,H000797,H000840,H000930,H000814,H000725,H000452,H000762,H001015,H001014,H000948,H001029,H001030,H001041,H001051,H001061,H001071,H001073,I000024,H001088,H001094
H000465,H000456,H000719,H000445,H000951,H000840,H000874,H000951,H000874,H000789,H000463,H000789,H001016,H001015,H000981,H001032,H001032,H001042,H001052,H001063,H001072,H001074,I000055,H001089,H001095
H000479,H000463,H000722,H000448,H000981,H000874,H000878,H000981,H000878,H000814,H000528,H000807,H001022,H001016,H001016,H001033,H001034,H001043,H001053,H001064,H001073,H001075,J000020,H001090,H001096
H000563,H000582,H000725,H000449,H001018,H000878,H000901,H001018,H000901,H000874,H000615,H000814,H001028,H001022,H001022,H001034,H001036,H001044,H001054,H001065,I000024,H001076,J000032,H001091,H001097
H000582,H000624,H000747,H000456,H001022,H000901,H000930,H001022,H000930,H000912,H000621,H000874,H001029,H001028,H001028,H001035,H001037,H001045,H001055,H001066,I000055,H001077,J000126,I000024,I000056
H000624,H000675,H000752,H000463,I000025,H000930,H000951,I000024,H000981,H000930,H000627,H000948,H001030,H001029,H001029,H001036,H001038,H001046,H001056,H001067,I000056,H001078,J000255,I000056,I000058
H000638,H000719,H000776,H000490,I000029,H000951,H000981,I000025,H001018,H000981,H000666,H000981,H001031,H001030,H001030,H001037,H001039,H001047,H001057,H001068,I000057,H001079,J000288,J000020,J000032
H000719,H000722,H000797,H000547,J000013,H000981,H001018,I000029,H001022,H001015,H000676,H001014,H001032,H001031,H001031,H001038,H001040,H001048,H001058,H001069,J000032,H001082,J000289,J000032,J000288
H000725,H000725,H000840,H000582,J000033,H001018,H001022,J000033,I000024,H001016,H000707,H001015,I000024,H001032,H001032,I000023,H001041,H001049,H001059,I000024,J000126,I000024,J000292,J000126,J000289
H000747,H000747,H000878,H000586,J000072,H001022,I000024,J000047,I000025,H001018,H000712,H001016,I000025,H001033,H001033,I000024,H001042,I000023,H001060,I000055,J000174,I000055,J000293,J000288,J000292
H000752,H000752,H000901,H000624,J000083,I000025,I000025,J000072,I000029,H001022,H000725,H001022,I000026,H001034,H001034,I000025,H001043,I000024,H001061,I000056,J000255,I000056,J000294,J000289,J000293
H000797,H000797,H000905,H000641,J000101,I000029,I000029,J000083,J000033,I000023,H000789,H001028,I000047,I000024,H001035,I000026,I000023,I000025,H001062,I000057,J000288,J000032,J000295,J000292,J000294
H000840,H000840,H000930,H000719,J000163,J000033,J000033,J000163,J000047,I000024,H000807,I000023,I000055,I000025,H001036,I000047,I000024,I000026,H001063,J000032,J000289,J000126,J000298,J000293,J000295
H000851,H000878,H000951,H000722,J000189,J000072,J000072,J000177,J000070,I000025,H000814,I000024,J000032,I000026,H001037,I000055,I000025,I000055,I000024,J000126,J000290,J000174,J000299,J000294,J000298
H000875,H000901,H001013,H000725,J000216,J000083,J000083,J000187,J000072,I000026,H000874,I000025,J000070,I000047,I000024,I000056,I000026,I000056,I000025,J000174,J000292,J000255,J000300,J000295,J000299
H000878,H000905,H001018,H000747,J000232,J000163,J000163,J000189,J000083,I000047,H000981,I000047,J000072,I000055,I000025,I000057,I000055,I000057,I000026,J000177,J000293,J000288,J000301,J000298,J000301
H000905,H000930,H001022,H000776,J000256,J000189,J000177,J000211,J000163,J000033,H001015,J000032,J000082,I000056,I000026,J000032,I000056,J000032,I000055,J000255,J000294,J000289,J000302,J000299,J000302
H000930,H000953,I000001,H000797,K000009,J000216,J000189,J000256,J000174,J000070,H001016,J000070,J000110,I000057,I000047,J000070,I000057,J000126,I000056,J000288,J000295,J000290,K000009,J000301,J000304
H000953,H000956,I000025,H000840,K000016,J000232,J000216,J000265,J000177,J000072,H001022,J000072,J000126,J000032,I000055,J000072,J000032,J000174,I000057,J000289,J000296,J000292,K000188,J000302,J000305
H000965,H001022,I000029,H000874,K000017,J000256,J000256,K000008,J000187,J000120,I000023,J000082,J000163,J000070,I000056,J000082,J000070,J000177,J000032,J000290,J000297,J000293,K000210,J000304,J000307
H001011,I000001,J000013,H000878,K000019,K000008,J000265,K000009,J000189,J000126,I000024,J000110,J000174,J000072,I000057,J000126,J000126,J000255,J000126,J000291,K000009,J000294,K000362,J000305,J000308
H001022,I000025,J000033,H000901,K000020,K000009,K000008,K000016,J000211,J000163,I000025,J000126,J000177,J000082,J000032,J000163,J000174,J000283,J000174,J000292,K000188,J000295,K000367,J000306,J000309
I000001,I000029,J000064,H000905,K000025,K000016,K000009,K000017,J000256,J000174,I000047,J000149,J000255,J000110,J000070,J000174,J000177,J000285,J000177,J000293,K000210,J000297,K000368,K000009,K000009
I000025,J000013,J000072,H000930,K000086,K000017,K000011,K000019,J000265,J000177,J000032,J000163,J000283,J000126,J000072,J000177,J000255,J000288,J000255,J000294,K000360,J000298,K000375,K000188,K000367
J000013,J000033,J000074,H000951,K000105,K000019,K000016,K000020,K000008,J000187,J000033,J000174,J000284,J000163,J000082,J000255,J000283,J000289,J000283,J000295,K000362,J000299,K000376,K000367,K000375
J000033,J000064,J000083,H000981,K000118,K000020,K000017,K000105,K000009,J000189,J000070,J000177,K000008,J000174,J000110,J000283,J000284,J000290,J000285,J000296,K000363,J000300,K000377,K000368,K000376
J000057,J000072,J000099,H001018,K000148,K000086,K000019,K000110,K000016,K000008,J000072,J000255,K000009,J000177,J000126,J000284,J000285,J000291,J000288,K000009,K000367,J000303,K000378,K000375,K000377
J000064,J000083,J000101,H001022,K000172,K000105,K000020,K000118,K000017,K000009,J000126,J000283,K000016,J000255,J000163,J000285,J000287,K000008,J000289,K000148,K000368,K000009,K000379,K000376,K000380
J000072,J000099,J000135,I000025,K000190,K000118,K000086,K000146,K000019,K000016,J000163,K000008,K000078,J000283,J000174,J000287,J000288,K000009,J000290,K000188,K000375,K000188,K000380,K000377,K000381
J000099,J000135,J000148,I000029,K000259,K000148,K000105,K000148,K000105,K000017,J000174,K000009,K000105,J000284,J000177,K000008,J000289,K000105,J000291,K000210,K000376,K000210,K000381,K000378,K000382
J000115,J000148,J000189,J000013,K000304,K000172,K000110,K000172,K000110,K000088,J000177,K000016,K000113,J000285,J000255,K000009,K000008,K000113,J000292,K000220,K000378,K000352,K000382,K000380,K000383
J000135,J000189,J000216,J000033,K000307,K000190,K000118,K000259,K000118,K000105,J000187,K000078,K000146,K000008,J000283,K000078,K000009,K000148,J000293,K000360,K000379,K000362,K000383,K000381,K000384
J000148,J000216,J000232,J000072,K000319,K000259,K000148,K000305,K000146,K000110,J000189,K000088,K000148,K000009,J000284,K000105,K000105,K000172,K000009,K000362,K000380,K000367,K000384,K000382,K000385
J000189,J000232,J000256,J000074,K000322,K000306,K000172,K000306,K000148,K000118,J000255,K000105,K000172,K000078,J000285,K000113,K000113,K000180,K000148,K000363,K000381,K000375,K000385,K000383,K000388
J000216,J000256,K000017,J000083,L000020,K000307,K000259,K000307,K000172,K000146,J000283,K000110,K000180,K000105,J000286,K000148,K000148,K000188,K000172,K000367,K000382,K000376,K000386,K000384,K000389
J000232,J000266,K000020,J000101,L000090,K000319,K000306,K000319,K000259,K000148,K000008,K000113,K000188,K000113,K000008,K000172,K000172,K000210,K000188,K000368,K000383,K000378,K000388,K000385,K000391
J000248,K000017,K000025,J000189,L000116,K000322,K000307,K000352,K000274,K000172,K000009,K000118,K000210,K000148,K000009,K000180,K000180,K000220,K000210,K000375,K000384,K000379,K000389,K000386,K000392
J000256,K000019,K000077,J000200,L000123,L000020,K000309,L000020,K000305,K000181,K000016,K000146,K000220,K000172,K000078,K000188,K000188,K000305,K000220,K000376,K000385,K000380,K000391,K000388,K000393
J000266,K000020,K000086,J000216,L000148,L000090,K000319,L000045,K000306,K000210,K000017,K000148,K000259,K000180,K000105,K000210,K000210,K000336,K000305,K000378,K000386,K000381,K000392,K000389,K000394
K000014,K000025,K000105,J000232,L000169,L000116,K000352,L000090,K000307,K000220,K000078,K000172,K000270,K000188,K000113,K000220,K000220,K000352,K000336,K000379,K000387,K000382,K000393,K000391,K000397
